player_id,display_name,season,age,position,college_name,draft_year,draft_round,height,weight,games,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_epa,fantasy_points,fantasy_points_ppr
00-0015698,James Stewart,2000,29,RB,Tennessee,,,73.0,224.0,16,335,1172.0,10,66.0,-37.29837713852612,4.0,31,46,290.0,1,7.154664461548736,214.20000000000002,245.20000000000002
00-0015698,James Stewart,2001,30,RB,Tennessee,,,73.0,224.0,11,143,685.0,1,23.0,-21.135107425196725,0.0,23,26,242.0,1,10.16693695909815,104.7,127.7
00-0015698,James Stewart,2002,31,RB,Tennessee,,,73.0,224.0,14,231,1021.0,4,46.0,-15.366998960729411,0.0,46,70,333.0,2,-15.767271686092746,171.4,217.4
00-0016098,Fred Taylor,2000,24,RB,Florida,1998.0,1.0,73.0,228.0,13,286,1363.0,12,72.0,10.41570857368655,2.0,36,53,240.0,2,-4.983784309002953,240.3,276.3
00-0016098,Fred Taylor,2002,26,RB,Florida,1998.0,1.0,73.0,228.0,16,287,1314.0,8,47.0,-87.96632212417826,2.0,49,57,408.0,0,3.196033345775268,220.20000000000002,269.2
00-0016098,Fred Taylor,2003,27,RB,Florida,1998.0,1.0,73.0,228.0,16,345,1572.0,6,77.0,-12.058246197318708,5.0,48,48,370.0,1,8.204859132067694,228.20000000000002,276.2
00-0016098,Fred Taylor,2004,28,RB,Florida,1998.0,1.0,73.0,228.0,14,260,1224.0,2,48.0,-18.599111578500263,3.0,36,36,345.0,1,24.047403295349795,170.9,206.9
00-0016098,Fred Taylor,2005,29,RB,Florida,1998.0,1.0,73.0,228.0,11,194,787.0,3,26.0,-17.067765506210975,0.0,13,13,83.0,0,1.9551284886547364,105.0,118.0
00-0016098,Fred Taylor,2006,30,RB,Florida,1998.0,1.0,73.0,228.0,15,231,1146.0,5,46.0,2.9465231644862797,2.0,23,23,242.0,1,7.492383704957319,170.8,193.8
00-0016098,Fred Taylor,2007,31,RB,Florida,1998.0,1.0,73.0,228.0,15,223,1202.0,5,45.0,4.1273127427266445,2.0,9,9,58.0,0,2.192042415961623,154.0,163.0
00-0016098,Fred Taylor,2008,32,RB,Florida,1998.0,1.0,73.0,228.0,13,143,556.0,1,24.0,-22.95435906410623,0.0,16,16,98.0,0,-2.058470805402967,69.4,85.4
00-0016098,Fred Taylor,2009,33,RB,Florida,1998.0,1.0,73.0,228.0,6,63,269.0,4,13.0,-4.409185307507869,1.0,2,3,17.0,0,0.3631080728955567,50.6,52.6
00-0016321,Rodney Thomas,2000,27,RB,Texas A&M,1995.0,3.0,70.0,210.0,13,61,175.0,0,6.0,-18.505714973730417,0.0,8,11,35.0,1,-3.3578361821475475,25.000000000000004,33.0
00-0017209,Chris Warren,2000,32,RB,Ferrum College; Virginia,1990.0,4.0,74.0,227.0,13,72,287.0,2,18.0,-13.8310175280399,3.0,31,42,297.0,1,-12.825222511498986,72.4,103.4
00-0017218,Lamont Warren,2001,28,RB,Colorado,1994.0,6.0,71.0,211.0,16,61,191.0,3,11.0,-7.710255214721101,0.0,40,60,336.0,1,-3.6879901751506203,76.7,116.7
00-0017303,Justin Watson,2000,25,RB,San Diego State,,,72.0,230.0,9,53,242.0,4,12.0,2.4579937445848774,0.0,10,11,56.0,0,-2.9516067453369033,53.800000000000004,63.800000000000004
00-0017322,Ricky Watters,2000,31,RB,Notre Dame,1991.0,2.0,73.0,211.0,16,275,1223.0,7,60.0,-6.858948012341343,5.0,62,90,608.0,2,6.549821702983493,233.10000000000002,295.1
00-0017322,Ricky Watters,2001,32,RB,Notre Dame,1991.0,2.0,73.0,211.0,5,72,318.0,1,14.0,-8.505661797942594,1.0,11,22,107.0,0,-4.891236913739704,48.5,59.5
00-0017486,Tyrone Wheatley,2000,28,RB,Michigan,1995.0,1.0,72.0,235.0,14,229,1033.0,9,50.0,-18.588619141364145,4.0,20,34,156.0,1,-5.373235389728607,172.9,192.9
00-0017486,Tyrone Wheatley,2001,29,RB,Michigan,1995.0,1.0,72.0,235.0,11,88,276.0,5,21.0,-6.396639855916648,2.0,12,16,61.0,1,0.5967327257676516,67.7,79.7
00-0017486,Tyrone Wheatley,2002,30,RB,Michigan,1995.0,1.0,72.0,235.0,14,108,419.0,2,26.0,-2.7463507002970156,1.0,12,20,71.0,0,-6.161408248643967,61.0,73.0
00-0017486,Tyrone Wheatley,2003,31,RB,Michigan,1995.0,1.0,72.0,235.0,15,159,678.0,4,31.0,-7.256730881461408,2.0,12,12,120.0,0,4.781167864297066,99.80000000000001,111.80000000000001
00-0017486,Tyrone Wheatley,2004,32,RB,Michigan,1995.0,1.0,72.0,235.0,8,85,327.0,4,25.0,-4.153233892148635,0.0,15,15,78.0,0,0.007554376032203436,64.5,79.5
00-0017892,Moe Williams,2001,27,RB,Kentucky,1996.0,3.0,73.0,205.0,13,65,291.0,0,9.0,-10.670040182305273,1.0,23,35,210.0,0,0.5461141110878653,48.1,71.10000000000001
00-0017892,Moe Williams,2002,28,RB,Kentucky,1996.0,3.0,73.0,205.0,16,84,414.0,11,35.0,24.79013884844494,0.0,27,41,251.0,0,5.09263052591572,132.5,159.5
00-0017892,Moe Williams,2003,29,RB,Kentucky,1996.0,3.0,73.0,205.0,16,174,745.0,5,43.0,-8.661270958070332,2.0,65,65,644.0,3,47.03363238241177,184.9,249.9
00-0017915,Ricky Williams,2000,23,RB,Texas,1999.0,1.0,70.0,230.0,10,246,985.0,8,56.0,-19.93972489121046,6.0,43,54,403.0,1,17.379381298493726,188.16000000000003,231.16000000000003
00-0017915,Ricky Williams,2001,24,RB,Texas,1999.0,1.0,70.0,230.0,16,313,1245.0,6,58.0,-49.011373860303216,6.0,60,88,511.0,1,-4.8116067484093215,205.60000000000002,265.6
00-0017915,Ricky Williams,2002,25,RB,Texas,1999.0,1.0,70.0,230.0,16,383,1853.0,16,89.0,-12.885593906520917,7.0,47,59,363.0,1,8.380083947905396,313.6,360.6
00-0017915,Ricky Williams,2003,26,RB,Texas,1999.0,1.0,70.0,230.0,16,392,1372.0,9,68.0,-58.54449877790036,4.0,50,50,351.0,1,4.559410999395272,222.3,272.3
00-0017915,Ricky Williams,2005,28,RB,Texas,1999.0,1.0,70.0,230.0,12,168,743.0,6,37.0,-1.8599922105842062,1.0,17,17,93.0,0,0.660206500440836,117.60000000000001,134.6
00-0017915,Ricky Williams,2008,31,RB,Texas,1999.0,1.0,70.0,230.0,16,161,659.0,4,35.0,-17.532380314417843,4.0,29,29,219.0,1,9.762360167194856,113.80000000000001,142.8
00-0017915,Ricky Williams,2009,32,RB,Texas,1999.0,1.0,70.0,230.0,16,241,1121.0,11,55.0,6.937294356720452,4.0,35,53,264.0,2,-6.580401609627596,212.5,247.5
00-0017915,Ricky Williams,2010,33,RB,Texas,1999.0,1.0,70.0,230.0,16,159,673.0,2,26.0,-14.59078730734066,4.0,19,30,141.0,1,-5.832677699596388,95.4,114.4
00-0017915,Ricky Williams,2011,34,RB,Texas,1999.0,1.0,70.0,230.0,16,108,444.0,2,20.0,-11.811210391663508,2.0,13,20,83.0,0,0.34017175364059415,60.7,73.7
00-0018501,Amos Zereoue,2001,25,RB,West Virginia,1999.0,3.0,68.0,205.0,13,85,441.0,1,25.0,-3.4274167950741576,3.0,13,14,154.0,1,10.723520017027683,67.5,80.5
00-0018501,Amos Zereoue,2002,26,RB,West Virginia,1999.0,3.0,68.0,205.0,16,193,762.0,4,35.0,-23.668715009059255,1.0,42,53,341.0,0,-3.7377347002840997,130.3,172.3
00-0018501,Amos Zereoue,2003,27,RB,West Virginia,1999.0,3.0,68.0,205.0,16,132,433.0,2,22.0,-25.936700216973282,0.0,40,40,310.0,0,8.101169420628855,86.3,126.3
00-0018501,Amos Zereoue,2004,28,RB,West Virginia,1999.0,3.0,68.0,205.0,15,112,425.0,3,20.0,-15.000986643492292,1.0,39,39,284.0,0,13.03853815596085,86.9,125.9
00-0018977,Maurice Smith,2001,25,RB,North Carolina A&T,,,72.0,235.0,14,237,760.0,5,34.0,-56.12533941478145,1.0,19,27,230.0,1,8.016283811638203,133.0,152.0
